no,posx,posy,posz,movedirx,movediry,movedirz,viewdirx,viewdiry,viewdirz,deltapos,deltamovedir,deltaviewdir,label
55,-45.41267,1.565474,-94.83733000000001,-1.208401,0.0,-0.6124725000000001,-0.991424,-0.00476,-0.13059400000000002,1.354753,16.10014,2.949178,3
56,-46.75828,1.5650110000000002,-95.09348,-1.345612,0.0,-0.25614929999999997,-0.9897290000000001,-0.008848,-0.142682,1.369775,8.4798,0.9334120000000001,3
57,-47.97889,1.561223,-95.51992,-1.220608,0.0,-0.42643739999999997,-0.531748,0.006058,-0.846881,1.2929549999999999,15.08806,49.832370000000004,4
58,-49.06402,1.560861,-96.26141,-1.085129,0.0,-0.7414932,-0.993384,-0.07851,-0.08381,1.314274,30.19347,57.20946,4
59,-50.392070000000004,1.561148,-96.35783,-1.3280530000000002,0.0,-0.09641266,-0.997663,-0.063914,-0.024143,1.331548,5.934386,4.2746319999999995,3
60,-51.72081,1.5622559999999999,-96.31648,-1.328739,0.0,0.04134369,-0.9986209999999999,-0.046961,-0.023481000000000002,1.329382,0.570955,1.012446,3
61,-53.053819999999995,1.562316,-96.2617,-1.333012,0.0,0.05477905,-0.99882,-0.030402,-0.037880000000000004,1.3341370000000001,17.5956,1.774636,3
62,-53.828430000000004,1.5604719999999999,-95.98055,-0.7746086,0.0,0.2811508,-0.998776,-0.048227,-0.010986,0.8240540000000001,3.9061529999999998,2.563931,3
63,-55.08184,1.560656,-95.62013,-1.2534100000000001,0.0,0.3604202,-0.9973799999999999,-0.029249,-0.06616,1.304201,15.59861,4.253096,3
64,-56.468819999999994,1.560578,-95.60938,-1.386978,0.0,0.01074982,-0.9988739999999999,-0.014695,-0.045123,1.3870200000000001,0.514343,2.042979,3
65,-57.813869999999994,1.558198,-95.58686999999999,-1.345051,0.0,0.02251434,-0.9981459999999999,-0.045141,-0.040839999999999994,1.3452389999999999,0.518133,1.9878259999999999,3
66,-59.16915,1.557323,-95.57645,-1.3552819999999999,0.0,0.01042175,-0.997409,-0.063907,-0.033044,1.355322,0.096913,1.522413,3
67,-60.53914,1.557204,-95.56361,-1.369987,0.0,0.01284027,-0.9977889999999999,-0.06042,-0.027686000000000002,1.370048,0.5918220000000001,0.508622,3
68,-61.89095,1.557108,-95.53697,-1.35181,0.0,0.02663422,-0.997541,-0.063377,-0.029929,1.3520729999999999,0.622125,0.29948800000000003,3
69,-63.23809,1.556648,-95.52506,-1.347141,0.0,0.01190948,-0.995862,-0.064474,-0.064052,1.347194,0.7446729999999999,2.0245290000000002,3
70,-64.64938000000001,1.548096,-95.53093,-1.4112930000000001,0.0,-0.005867004,-0.99406,-0.048212,-0.097576,1.411305,0.44631099999999996,2.8593,3
71,-66.09425,1.5491190000000001,-95.52568000000001,-1.44487,0.0,0.005249023,-0.984454,-0.061349,0.164579,1.44488,9.059547,15.85086,3
72,-67.4308,1.5481850000000001,-95.30759,-1.3365479999999998,0.0,0.21809389999999998,-0.985936,-0.033208999999999995,0.16379000000000002,1.354225,1.5692270000000001,1.6735959999999999,3
73,-68.74906999999999,1.550781,-95.05524,-1.318268,0.0,0.25234989999999996,-0.9961549999999999,-0.020742,0.085122,1.3422040000000002,1.363149,5.262677,3
74,-70.07531999999999,1.552841,-94.83391999999999,-1.3262479999999999,0.0,0.22131350000000002,-0.987793,-0.021784,0.15424200000000002,1.344587,5.479582,4.050867,3
75,-71.40590999999999,1.5525959999999999,-94.47855,-1.330589,0.0,0.3553696,-0.9413229999999999,-0.020503999999999998,0.336885,1.377227,0.810117,10.89021,3
76,-72.49585,1.534905,-94.2039,-1.089943,0.0,0.27465059999999997,-0.47134499999999996,0.007533,0.8819170000000001,1.1240139999999998,19.08178,42.92864,3
77,-73.27580999999999,1.5313290000000002,-93.69301999999999,-0.7799606,0.0,0.5108795,-0.171619,0.001923,0.9851620000000001,0.9323819999999999,20.885939999999998,18.56423,3
78,-73.9115,1.5286899999999999,-92.8145,-0.6356888,0.0,0.8785248,-0.086589,-0.012568000000000001,0.996165,1.084392,19.18662,5.525883,3
79,-74.27332,1.523211,-91.60866,-0.361824,0.0,1.205841,-0.035706,-0.042362000000000004,0.9984639999999999,1.258956,15.44714,4.627579,3
80,-74.30275999999999,1.519684,-90.26533,-0.029434199999999997,0.0,1.34333,-0.029524,-0.027639999999999998,0.999182,1.343653,0.9358639999999999,1.199718,3
81,-74.31033000000001,1.518282,-88.90578000000001,-0.007575989,0.0,1.35955,-0.040026,-0.027416000000000003,0.9988229999999999,1.359572,1.322638,0.615088,3
82,-74.28697,1.518052,-87.57215,0.02336121,0.0,1.333626,-0.018463999999999998,-0.031,0.9993489999999999,1.3338299999999998,0.640108,1.44182,3
83,-74.27946,1.517164,-86.38676,0.007514954,0.0,1.185394,-0.016285,-0.046659,0.998778,1.185418,0.065611,1.021357,3
84,-74.27091,1.518777,-85.23980999999999,0.008544922,0.0,1.14695,-0.020013,-0.039102,0.999035,1.146982,0.692951,0.647151,3
